Brand,Store_Number,Store_Name,Ownership_Type,City,State,Country
Starbucks,47370-257954,"Meritxell, 96",Licensed,"Andorra la Vella",7,AD
Starbucks,22331-212325,"Ajman Drive Thru",Licensed,Ajman,AJ,AE
Starbucks,47089-256771,"Dana Mall",Licensed,Ajman,AJ,AE
Starbucks,22126-218024,"Twofour 54",Licensed,"Abu Dhabi",AZ,AE
Starbucks,17127-178586,"Al Ain Tower",Licensed,"Abu Dhabi",AZ,AE
Starbucks,17688-182164,"Dalma Mall, Ground Floor",Licensed,"Abu Dhabi",AZ,AE
Starbucks,18182-182165,"Dalma Mall, Level 1",Licensed,"Abu Dhabi",AZ,AE
Starbucks,23359-229184,"Debenhams Yas Mall",Licensed,"Abu Dhabi",AZ,AE
Starbucks,30781-99022,"Khalidiya Street",Licensed,"Abu Dhabi",AZ,AE
Starbucks,20423-205465,"Eastern Mangroves",Licensed,"Abu Dhabi",AZ,AE
Starbucks,20424-205466,"Nation Towers",Licensed,"Abu Dhabi",AZ,AE
Starbucks,1579-122101,"HCT Abu Dhabi Women's College Block",Licensed,"Abu Dhabi",AZ,AE
Starbucks,32595-122105,"Standard Chartered Building",Licensed,"Abu Dhabi",AZ,AE
Starbucks,24191-236428,"International Tower",Licensed,"Abu Dhabi",AZ,AE
Starbucks,24604-238367,"Yas Mall 3",Licensed,"Abu Dhabi",AZ,AE
Starbucks,32029-110804,"Blue Tower A",Licensed,"Abu Dhabi",AZ,AE
Starbucks,29560-238539,"Corniche Park DT",Licensed,"Abu Dhabi",AZ,AE
Starbucks,32239-100001,"Khalidiya Mall",Licensed,"Abu Dhabi",AZ,AE
Starbucks,31719-103601,"Al Wahda Mall",Licensed,"Abu Dhabi",AZ,AE
Starbucks,20008-200004,"Al Seef Village",Licensed,"Abu Dhabi",AZ,AE
Starbucks,32767-131566,"Shangri-La Souq",Licensed,"Abu Dhabi",AZ,AE
Starbucks,3886-141408,"Abu Dhabi University, Men's",Licensed,"Abu Dhabi",AZ,AE
Starbucks,29539-254261,"MUshrif Mall 1",Licensed,"Abu Dhabi",AZ,AE
Starbucks,28809-251348,"Boutik Mall Sun & Sky",Licensed,"Abu Dhabi",AZ,AE
Starbucks,34262-62540,"Marina Mall",Licensed,"Abu Dhabi",AZ,AE
Starbucks,3178-141407,"Abu Dhabi University, Women's",Licensed,"Abu Dhabi",AZ,AE
Starbucks,34260-17877,"Hamdan Street",Licensed,"Abu Dhabi",AZ,AE
Starbucks,21605-213406,"Saadiyat Island",Licensed,"Abu Dhabi",AZ,AE
Starbucks,1935-141406,"Camellia Flowers",Licensed,"Abu Dhabi",AZ,AE
Starbucks,20113-195784,Deerfields,Licensed,"Abu Dhabi",AZ,AE
Starbucks,34227-33225,"Abu Dhabi Mall",Licensed,"Abu Dhabi",AZ,AE
Starbucks,17361-180588,"Zayed University",Licensed,"Abu Dhabi",AZ,AE
Starbucks,15938-165686,"Bawabat Al Sharq",Licensed,"Abu Dhabi",AZ,AE
Starbucks,16453-170544,"Guardian Tower",Licensed,"Abu Dhabi",AZ,AE
Starbucks,24085-235545,"Ferrari World Welcome Pavilion",Licensed,"Abu Dhabi",AZ,AE
Starbucks,24932-239347,"Al Mamoura",Licensed,"Abu Dhabi",AZ,AE
Starbucks,18469-188844,"Ministry of Interior",Licensed,"Abu Dhabi",AZ,AE
Starbucks,28810-251346,"ADNOC Mushrif",Licensed,"Abu Dhabi",AZ,AE
